id,name,sheet,image,index,row,column,x,y,width,height
new-01-001,French Pochoir Fashion Plate,1,clio_new_styles_sheet_01.png,0,0,0,0,0,300,300
new-01-002,Hand-Tinted Magic Lantern Slide,1,clio_new_styles_sheet_01.png,1,0,1,300,0,300,300
new-01-003,1960s Boutique Croquis,1,clio_new_styles_sheet_01.png,2,0,2,600,0,300,300
new-01-004,1970s Educational Filmstrip,1,clio_new_styles_sheet_01.png,3,0,3,900,0,300,300
new-01-005,Airport Paperback Cover Painting,1,clio_new_styles_sheet_01.png,4,0,4,1200,0,300,300
new-01-006,Victorian Chromolithograph Keepsake,1,clio_new_styles_sheet_01.png,5,0,5,1500,0,300,300
new-01-007,Neo-Medieval Marginalia,1,clio_new_styles_sheet_01.png,6,0,6,1800,0,300,300
new-01-008,Cold-War Science Annual,1,clio_new_styles_sheet_01.png,7,0,7,2100,0,300,300
new-01-009,Belle Époque Sheet-Music Cover,1,clio_new_styles_sheet_01.png,8,0,8,2400,0,300,300
new-01-010,Edwardian Theatre Souvenir,1,clio_new_styles_sheet_01.png,9,0,9,2700,0,300,300
new-01-011,Nordic Linocut Storybook,1,clio_new_styles_sheet_01.png,10,1,0,0,300,300,300
new-01-012,Baltic Amber-Ink Illustration,1,clio_new_styles_sheet_01.png,11,1,1,300,300,300,300
new-01-013,Carpathian Woodblock Fairytale,1,clio_new_styles_sheet_01.png,12,1,2,600,300,300,300
new-01-014,Danube Secessionist Print,1,clio_new_styles_sheet_01.png,13,1,3,900,300,300,300
new-01-015,Balkan Naive Fresco,1,clio_new_styles_sheet_01.png,14,1,4,1200,300,300,300
new-01-016,Iberian Azulejo Narrative,1,clio_new_styles_sheet_01.png,15,1,5,1500,300,300,300
new-01-017,Provencal Fabric-Print Illustration,1,clio_new_styles_sheet_01.png,16,1,6,1800,300,300,300
new-01-018,Sicilian Cart-Painting Graphic,1,clio_new_styles_sheet_01.png,17,1,7,2100,300,300,300
new-01-019,Alpine Sgraffito Folk Art,1,clio_new_styles_sheet_01.png,18,1,8,2400,300,300,300
new-01-020,Flemish Lace-Shadow Drawing,1,clio_new_styles_sheet_01.png,19,1,9,2700,300,300,300
new-01-021,Sahel Mudcloth Graphic Portrait,1,clio_new_styles_sheet_01.png,20,2,0,0,600,300,300
new-01-022,Ethiopian Parchment Icon Graphic,1,clio_new_styles_sheet_01.png,21,2,1,300,600,300,300
new-01-023,Swahili Kanga Border Illustration,1,clio_new_styles_sheet_01.png,22,2,2,600,600,300,300
new-01-024,Coptic Textile-Inspired Portrait,1,clio_new_styles_sheet_01.png,23,2,3,900,600,300,300
new-01-025,Maghrebi Painted-Wood Interior Art,1,clio_new_styles_sheet_01.png,24,2,4,1200,600,300,300
new-01-026,Ndebele Geometric Editorial,1,clio_new_styles_sheet_01.png,25,2,5,1500,600,300,300
